Slice,xc,yc,intdens,intsub,bgmedian,maxint,area,x,y,sqintdens,sqintsub,sqarea,threshold,animal,redFlag,useTracking
1,369.499,772.516,3697.000,1342.000,471.000,771.000,5.000,369.500,772.500,20985.000,4029.000,36.000,680,13,0,1
2,369.336,772.669,4611.000,1683.000,488.000,886.000,6.000,369.333,772.667,21900.000,4332.000,36.000,680,13,0,1
3,369.492,772.784,5170.000,1733.000,491.000,880.000,7.000,369.500,772.786,21975.000,4299.000,36.000,680,13,0,1
4,369.340,772.705,4613.000,1655.000,493.000,901.000,6.000,369.333,772.667,22225.000,4477.000,36.000,680,13,0,1
5,369.504,772.792,5347.000,1903.000,492.000,898.000,7.000,369.500,772.786,22174.000,4462.000,36.000,680,13,0,1
6,369.691,772.886,3807.000,1332.000,495.000,854.000,5.000,369.700,772.900,21977.000,4157.000,36.000,680,13,0,1
7,369.530,772.790,5254.000,1782.000,496.000,825.000,7.000,369.500,772.786,22009.000,4153.000,36.000,680,13,0,1
8,369.532,772.984,4637.000,1667.000,495.000,837.000,6.000,369.500,773.000,22161.000,4341.000,36.000,680,13,0,1
9,369.508,772.795,5242.000,1819.000,489.000,814.000,7.000,369.500,772.786,21871.000,4267.000,36.000,680,13,0,1
10,369.194,772.682,4538.000,1616.000,487.000,872.000,6.000,369.167,772.667,22119.000,4587.000,36.000,680,13,0,1
11,369.635,772.819,5225.000,1767.000,494.000,836.000,7.000,369.643,772.786,21971.000,4187.000,36.000,680,13,0,1
12,369.513,772.804,5363.000,1919.000,492.000,840.000,7.000,369.500,772.786,22335.000,4623.000,36.000,680,13,0,1
13,369.718,772.903,3773.000,1318.000,491.000,786.000,5.000,369.700,772.900,21758.000,4082.000,36.000,680,13,0,1
14,369.495,772.788,5332.000,1881.000,493.000,831.000,7.000,369.500,772.786,22389.000,4641.000,36.000,680,13,0,1
15,369.502,772.792,5324.000,1873.000,493.000,835.000,7.000,369.500,772.786,22262.000,4514.000,36.000,680,13,0,1
16,369.628,772.640,5944.000,2008.000,492.000,833.000,8.000,369.625,772.625,22102.000,4390.000,36.000,680,13,0,1
17,369.511,772.788,5284.000,1833.000,493.000,810.000,7.000,369.500,772.786,22352.000,4604.000,36.000,680,13,0,1
18,369.673,772.694,4629.000,1671.000,493.000,866.000,6.000,369.667,772.667,22105.000,4357.000,36.000,680,13,0,1
19,369.347,772.677,4519.000,1591.000,488.000,824.000,6.000,369.333,772.667,21947.000,4379.000,36.000,680,13,0,1
20,369.291,772.754,6019.000,2091.000,491.000,897.000,8.000,369.250,772.750,22275.000,4599.000,36.000,680,13,0,1
21,369.358,772.685,4575.000,1611.000,494.000,851.000,6.000,369.333,772.667,21905.000,4121.000,36.000,680,13,0,1
22,369.500,772.989,4585.000,1603.000,497.000,878.000,6.000,369.500,773.000,22329.000,4437.000,36.000,680,13,0,1
23,369.513,772.998,4731.000,1767.000,494.000,844.000,6.000,369.500,773.000,22249.000,4465.000,36.000,680,13,0,1
24,369.492,772.792,5344.000,1900.000,492.000,880.000,7.000,369.500,772.786,22262.000,4550.000,36.000,680,13,0,1
25,369.623,772.638,6102.000,2190.000,489.000,869.000,8.000,369.625,772.625,22101.000,4497.000,36.000,680,13,0,1
26,369.502,772.992,4695.000,1725.000,495.000,879.000,6.000,369.500,773.000,22102.000,4282.000,36.000,680,13,0,1
27,369.502,772.993,6025.000,2073.000,494.000,869.000,8.000,369.500,773.000,22347.000,4563.000,36.000,680,13,0,1
28,369.516,772.809,5401.000,1950.000,493.000,860.000,7.000,369.500,772.786,22288.000,4540.000,36.000,680,13,0,1
29,369.525,773.192,5371.000,1899.000,496.000,820.000,7.000,369.500,773.214,22355.000,4499.000,36.000,680,13,0,1
